id,name,lat,lon,address_line1,town,state,postcode,country,operator,usage_cost_raw,price_sort_value,price_available,price_source,last_seen_epoch
191164,Evie Mosman,-33.82544433087931,151.24146564876457,6 Myahgah Road,Mosman,NSW,,,,$0.40/kWh,0.4,True,OCM,1778299295
192687,Stanley St Peakhurst NSW,-33.961219,151.065897,17-25 Stanley St, Peakhurst ,Nsw,2210,,,0.40,0.4,True,OCM,1778299281
100404,Broadway Supercharger,-33.882995,151.194332,1 Bay Street,Broadway,,2007,,,AUD 0.42/kWh;other tariffs for older cars,0.42,True,OCM,1778299294
150032,Macquarie Supercharger,-33.777782,151.12275,Macquarie Supercharger,,,2113,,,AUD 0.42/kWh;other tariffs for older cars,0.42,True,OCM,1778299294
272619,The Heffron Centre,-33.97374,151.236646,439 Bunnerong Road,Chifley,New South Wales,2036,,,Free - $0.42/kWh,0.42,True,OCM,1778299282
266872,Chatswood Chase Chargefox,-33.79511781061279,151.18644036778977,345 Victoria Avenue,Chatswood,NSW,2067,,,$0.45/kWh,0.45,True,OCM,1778299294
272618,ENGIE - DFO Homebush,-33.855576,151.076681,3 -5 Underwood Road,Homebush,New South Wales,2140,,,$0.45/kWh,0.45,True,OCM,1778299294
272617,ENGIE - Roselands Shopping Centre,-33.935,151.069205,24 Roselands Drive,Roselands,New South Wales,2196,,,$0.45/kWh,0.45,True,OCM,1778299292
272615,ENGIE - Warriewood Square,-33.695602,151.2962878,12 Jacksons Road,Warriewood,New South Wales,2101,,,$0.45/kWh,0.45,True,OCM,1778299309
266540,Evie Lawson,-33.72070368975226,150.4297109802278,4-6 New Street,Lawson,New South Wales,2783,,,$0.45 per kWh. ,0.45,True,OCM,1778299302
265390,HomeCo Castle Hill,-33.72778176586396,150.976245622693,18 Victoria Avenue,Castle Hill,NSW,2154,,,$0.45 per kWh. Parking overstay charges may apply,0.45,True,OCM,1778299305
192929,Mona Vale library carpark [JOLT],-33.67610252225354,151.3038961163004,1 Park St,Mona Vale,NSW,2103,,,"First 7kWh free, then $0.46 per kWh thereafter. $5/hr idle time",0.46,True,OCM,1778299309
295979,Barrenjoey Road,-33.597285174014345,151.31997898476163,Barrenjoey Road,,New South Wales,2108,,,"First 7kWh free, then $0.49 per kWh thereafter. $5/hr idle time",0.49,True,OCM,1778299309
460472,Railway Parade Thirroul,-34.3177075435834,150.91844342618032,Railway Parade,Thirroul,NSW,2515,,,0.5,0.5,True,OCM,1778299265
128371,Central Coast Supercharger [Tesla],-33.309014,151.421114,Bryant Drive & Wyong Road,Tuggerah,,,,,$0.52/kWh,0.52,True,OCM,1778299340
191280,Tesla Supercharger South Village,-34.033063649505685,151.07388271966875,Princes Highway,Kirrawee,NSW,2232,,,$0.52/kWh,0.52,True,OCM,1778299281
266767,BP Pulse,-33.36290641211102,151.44446174596283,Cnr Mingara Dr & Wyong Rd,Tumbi Umbi,NSW,2261,,,$0.55/kwh,0.55,True,OCM,1778299324
272521,BP Pulse Eastern Creek,-33.811041669720204,150.85030018744214,BP Truckstop,Eastern Creek,New South Wales,2766,,,$0.55/kWh,0.55,True,OCM,1778299292
272624,ENGIE - Greenway Wetherill Park,-33.850403,150.89840155,1183-1187 The Horsley Drive,Wetherill Park,New South Wales,2164,,,$0.55/kWh,0.55,True,OCM,1778299292
460473,EVX Austinmer,-34.30096753205442,150.93993271999892,Headland Avenue,Austinmer,NSW,2516,,,0.55,0.55,True,OCM,1778299265
460474,Georges Place,-34.41859867256016,150.90226317639872,Georges Place,Wollongong,NSW,2500,,,0.55,0.55,True,OCM,1778299265
170607,Ampol Woolworths MetroGo Seven Hills,-33.767099,150.954883,38 Abbott Rd,Seven Hills,New South Wales,2147,,,$0.60 per kWh,0.6,True,OCM,1778299305
272620,Berowra Tennis Centre,-33.621379,151.1494478,6 Boundary Street,Berowra,New South Wales,2081,,,$0.60/kWh,0.6,True,OCM,1778299307
299879,Chargefox Charging Station,-34.07085887727317,150.80665583075495,38 Camden Rd,Campbelltown,NSW,2560,,,$0.60/kWh,0.6,True,OCM,1778299277
272616,NRMA - Sydney,-33.9055215,151.2128,4 Defries Avenue,Zetland,New South Wales,2017,,,$0.45 - $0.60/kWh,0.6,True,OCM,1778299294
272622,Pennant Hills Toyota,-33.7366211,151.0743388,330 Pennant Hills Road,Pennant Hills,New South Wales,2120,,,$0.60/kWh,0.6,True,OCM,1778299305
266501,Campbelltown Supercharger,-34.07151792013103,150.80730085250025,20-22 Camden Road,Campbelltown,New South Wales,2560,,,$0.66/kWh,0.66,True,OCM,1778299277
274056,Ampol Foodary Penrith,-33.7430336465433,150.69296375875626,153 Coreen Ave,Penrith,NSW,2750,,,$0.69/kWh for pay-as-you-go charging.,0.69,True,OCM,1778299304
279179,Ampol Foodary Pheasants Nest Northbound,-34.2829974272134,150.63679286992692,Lots 1 & 2 Hume Hwy,Pheasants Nest,New South Wales,2574,,,$0.69 per kWh,0.69,True,OCM,1778299262
279180,Ampol Foodary Pheasants Nest Southbound,-34.2834466714301,150.63939668827243,Lot 12 Hume Hwy,Pheasants Nest ,New South Wales,2574,,,AUD 0.69/kWh,0.69,True,OCM,1778299262
308738,Tesla Supercharger Bankstown,-33.933123083981414,151.0285550577326,Chapel Road,Bankstown,NSW,,,,$0.69/kWh,0.69,True,OCM,1778299292
171646,Wollongong Supercharger,-34.43797320339262,150.8633622012107,Figtree Grove Shopping Centre,Figtree,New South Wales,2525,,,$0.69/kWh,0.69,True,OCM,1778299263
